English common name of herbal substance,Latin name of herbal substance,Full Text PDF URL,Monograph PDF URL,Page URL,Revision date,Interactions with other medicinal products and other forms of interaction,Unnamed: 2,Unnamed: 3,date,url,Undesirable effects,Overdose,Pharmacodynamic properties,Pharmacokinetic properties,Preclinical safety data
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.","Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.",,
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,"The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ","Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,"The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ",
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,,"Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,,
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.","The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ","Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.","The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ",
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.",,"Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.",,
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,"The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ","Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,"The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ",
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,,"Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,"Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,,
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.","Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.","The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ","Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.","Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.","The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ",
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.","Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.",,"Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.","Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.",,
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,"The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ","Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,"The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ",
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,,"Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,"After the intake of up to 4.5 g dry extract per day for 2 weeks and additionally 15 g dry extract just before hospitalisation seizures and confusion have been reported. After ingestion of massive overdoses, the patient should be protected from sunlight and other UV-light sources for 1-2 weeks.",,,
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,,"Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.","The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ","Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. The weak positive results of an ethanolic extract in the AMES-test (Salmonella typhimurium TA 98 and TA 100, with and without metabolic activation) could be assigned to quercetin and are irrelevant to human safety. No signs of mutagenicity could be detected in further in-vitro and in-vivo test systems. Tests on reproductive toxicity revealed equivocal results. Tests on the carcinogenic potential have not been published. Phototoxicity: After oral application of dosages of 1800 mg of an extract per day for 15 days the skin sensitivy against UVA was increased, and the minimum dose for pigmentation was significantly reduced. In the recommended dosage, no signs of phototoxicity are reported.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended, unless
necessary for the safe use of the product. "
St. John's Wort,Hyperici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/hyperici-herba,,,,,,,,,"Pharmacotherapeutic group: Other antidepressants ATC code: N06AX Hypericum dry extract inhibits the synaptosomal uptake of the neurotransmitters noradrenaline, serotonine and dopamine. Subchronic treatment causes a down-regulation of -adrenergic receptors; it changes the behaviour of animals in several antidepressant models (e.g., forced swimming test) similarly to synthetic antidepressants. Napthodianthrones (e.g. hypericin, pseudohypericin), phloroglucin derivatives (e.g. hyperforin) and flavonoids contribute to the activity.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended.","The absorption of hypericin is delayed and starts about 2 hours after administration. The elimination half-life of hypericin is about 20 hours, the mean residence time about 30 hours. Maximum hyperforin levels are reached about 3-4 hours after administration; no accumulation could be detected. Hyperforin and the flavonoid miquelianin can cross the blood-brain-barrier. Hyperforin induces the activity of the metabolic enzymes CYP3A4, CYP2C9, CYP2C19 and PGP dose-dependently via activation of the PXR system. Therefore the elimination of other drug substances may be accelerated, resulting in decreased plasma concentrations.

Not required as per Article 16c(1)(a)(iii) of
Directive 2001/83/EC as amended. ",
